"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "MS SQL", "PowerShell", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\register\route.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 6, 36
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\auth\select-role\route.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 6, 31
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\active\route.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\availability\route.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 8, 25, 117
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\preferences\route.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 3, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctor\profile\route.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 4, 38
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\appointments-public\route.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 10, 48
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\availability-public\route.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 9, 40
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\route.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 12, 13, 63
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\[id]\verify\route.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 10, 47
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\doctors\route.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 4, 10, 62
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\files\[...path]\route.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 4, 19, 77
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\app\api\health\route.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
