"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "MS SQL", "JavaScript", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\patient\PatientPagination.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 0, 1, 11, 79
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\patient\PatientStatsCard.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 1, 2, 31
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\admin\patient\PatientTable.tsx", "TypeScript JSX", 0, 129, 0, 0, 0, 0, 0, 13, 14, 156
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\EmailLoginStep.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 3, 3, 49
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\EmailSignupStep.tsx", "TypeScript JSX", 0, -14, 0, 0, 0, 0, 0, 3, 2, -9
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\EmailVerificationStep.tsx", "TypeScript JSX", 0, 103, 0, 0, 0, 0, 0, 3, 16, 122
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\ForgetPasswordForm.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\LoginForm.tsx", "TypeScript JSX", 0, -22, 0, 0, 0, 0, 0, 0, -7, -29
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\LoginOtpStep.tsx", "TypeScript JSX", 0, 78, 0, 0, 0, 0, 0, 3, 13, 94
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\LogoutButton.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 12, 57
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\OtpStep.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 4, 11, 83
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\PhoneLoginStep.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\PhoneSignupStep.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, -2, 4, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\ResetPasswordForm.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 1, 6, 56
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\SelectRoleForm.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, -1, 3, 25
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\auth\SignupForm.tsx", "TypeScript JSX", 0, -4, 0, 0, 0, 0, 0, 3, -4, -5
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\appointment\AppointmentQueue.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 27, 5, 66
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\AboutDoctor.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\BookingPanel.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 0, 9, 68, 184
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\DoctorProfile.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, -4, 3, 31
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\DoctorStats.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, -1, 8
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\Reviews.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\BookingActions.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\BookingConfirmationHero.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, -3, 0, 15
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\BookingSummaryCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\booking\confirmation\DoctorSummary.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\CurrentlyConsulting.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 4, 7, 74
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\Header.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 1, -2, 17
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\Sidebar.tsx", "TypeScript JSX", 0, -17, 0, 0, 0, 0, 0, 2, -1, -16
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\StatsSection.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 1, -1, 13
"c:\Users\ajays\OneDrive\Desktop\project\healthdee\components\doctor\dashboard\UrgentNotifications.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 0, 0, 4, 2, 60
